"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006959","humoral immune response","86/1250","307/18860",0.280130293159609,4.22660586319218,15.1859754296666,1.26042836620989e-31,6.99537743246488e-28,5.39330664067705e-28,"CFD/MS4A1/POU2AF1/CCL28/VIP/LGALS4/CXCL14/CTSG/WFDC2/CXCL13/CCL5/CCL8/CCL15/LGALS3/CCL4/CCL24/SPNS2/EVPL/CCL3/CCL4L1/FCN1/ANG/C1S/C1R/SPON2/CLU/TREM2/CXCL9/CFH/CCL18/S100A9/CXCL10/CXCL3/CXCL1/SERPING1/IL1B/REG1A/C2/DEFA5/MASP1/DEFA6/CXCL2/C4B/LEAP2/CXCL5/C4A/IL6/REG3A/C8G/REG1B/CXCL11/KLK7/C4BPB/CCL16/C3/CFHR4/COLEC11/CFB/CFI/CXCL6/COLEC10/TREM1/MBL2/FCN2/CFHR5/C5/CD5L/C4BPA/KNG1/MASP2/FCN3/CFHR3/C6/MMP7/TF/C8A/CFHR2/HRG/HAMP/CFHR1/HPX/FGA/FGB/F2/C8B/C9",86
"GO:0016053","organic acid biosynthetic process","87/1250","342/18860",0.254385964912281,3.83817543859649,14.1120435911405,1.26157207609705e-28,3.50086251116931e-25,2.69910025754448e-25,"PLP1/DHRS9/GSTM2/CEACAM1/GGT6/ABHD3/PLA2G10/UGDH/MGLL/PLA2G4F/UGP2/OSBPL7/OSBPL1A/CAD/MTHFD2/PRMT3/ERRFI1/FGFR4/PYCR1/SHMT2/CYP27A1/PSPH/MTHFD1/FASN/NME1/LIPG/INSIG1/ELOVL5/ABAT/PTGS2/CYP39A1/SDS/FADS2/ANGPTL4/PHGDH/RBP1/FADS1/IL1B/PROX1/CBS/OTC/ACSL1/SCD/KYNU/MTHFD1L/CES1/PSAT1/MLXIPL/TRIB3/PKLR/GAMT/GATM/ACMSD/LIPC/ACSM5/CYP2D6/GLS2/CYP3A4/CTHRC1/CYP1A2/AKR1D1/BHMT2/AGXT2/CDO1/CYP4A22/ACSM2A/APOC1/SLC27A5/ALDH8A1/CYP2C9/CYP8B1/ACSM2B/UPB1/AKR1C4/BHMT/PAH/AGXT/APOA5/BAAT/HAO1/CPS1/APOC2/FMO3/CYP4A11/CYP2C8/CYP2E1/APOC3",87
"GO:0046394","carboxylic acid biosynthetic process","86/1250","339/18860",0.253687315634218,3.82763421828909,13.996695694139,3.25113075101776e-28,6.01459188938286e-25,4.63713912382007e-25,"PLP1/DHRS9/GSTM2/CEACAM1/GGT6/ABHD3/PLA2G10/UGDH/MGLL/PLA2G4F/UGP2/OSBPL7/OSBPL1A/CAD/MTHFD2/PRMT3/ERRFI1/FGFR4/PYCR1/SHMT2/CYP27A1/PSPH/MTHFD1/FASN/NME1/LIPG/INSIG1/ELOVL5/ABAT/PTGS2/CYP39A1/SDS/FADS2/ANGPTL4/PHGDH/RBP1/FADS1/IL1B/PROX1/CBS/OTC/ACSL1/SCD/KYNU/MTHFD1L/CES1/PSAT1/MLXIPL/TRIB3/PKLR/GAMT/GATM/ACMSD/LIPC/ACSM5/CYP2D6/GLS2/CYP3A4/CTHRC1/CYP1A2/AKR1D1/BHMT2/AGXT2/CDO1/CYP4A22/ACSM2A/APOC1/SLC27A5/ALDH8A1/CYP2C9/CYP8B1/ACSM2B/UPB1/AKR1C4/BHMT/PAH/AGXT/APOA5/BAAT/HAO1/CPS1/APOC2/CYP4A11/CYP2C8/CYP2E1/APOC3",86
"GO:0006956","complement activation","36/1250","65/18860",0.553846153846154,8.35643076923077,15.828411206755,8.82781205513466e-26,1.22485892264993e-22,9.44343579055853e-23,"CFD/FCN1/C1S/C1R/CLU/TREM2/CFH/SERPING1/IL1B/C2/MASP1/C4B/C4A/C8G/C4BPB/C3/CFHR4/COLEC11/CFB/CFI/COLEC10/MBL2/FCN2/CFHR5/C5/CD5L/C4BPA/MASP2/FCN3/CFHR3/C6/C8A/CFHR2/CFHR1/C8B/C9",36
"GO:0031640","killing of cells of another organism","48/1250","135/18860",0.355555555555556,5.36462222222222,13.5593006161736,4.19034968258191e-23,3.87607345638827e-20,2.98838095784131e-20,"SCNN1B/CHGA/CCL28/CXCL14/CTSG/CXCL13/CCL8/LGALS3/GBP3/GZMA/FCN1/C1S/C1R/GZMB/CXCL9/CCL18/CXCL10/CXCL3/CXCL1/C2/DEFA5/MASP1/DEFA6/CXCL2/C4A/C8G/CXCL11/C3/CFB/CXCL6/TREM1/MBL2/FCN2/CFHR5/C5/KNG1/MASP2/FCN3/C6/C8A/ARG1/CFHR2/HRG/HAMP/CFHR1/F2/C8B/C9",48
"GO:0141061","disruption of cell in another organism","48/1250","135/18860",0.355555555555556,5.36462222222222,13.5593006161736,4.19034968258191e-23,3.87607345638827e-20,2.98838095784131e-20,"SCNN1B/CHGA/CCL28/CXCL14/CTSG/CXCL13/CCL8/LGALS3/GBP3/GZMA/FCN1/C1S/C1R/GZMB/CXCL9/CCL18/CXCL10/CXCL3/CXCL1/C2/DEFA5/MASP1/DEFA6/CXCL2/C4A/C8G/CXCL11/C3/CFB/CXCL6/TREM1/MBL2/FCN2/CFHR5/C5/KNG1/MASP2/FCN3/C6/C8A/ARG1/CFHR2/HRG/HAMP/CFHR1/F2/C8B/C9",48
"GO:0141060","disruption of anatomical structure in another organism","48/1250","139/18860",0.345323741007194,5.21024460431655,13.2734820001022,1.80198986833318e-22,1.42872053846416e-19,1.10151711500366e-19,"SCNN1B/CHGA/CCL28/CXCL14/CTSG/CXCL13/CCL8/LGALS3/GBP3/GZMA/FCN1/C1S/C1R/GZMB/CXCL9/CCL18/CXCL10/CXCL3/CXCL1/C2/DEFA5/MASP1/DEFA6/CXCL2/C4A/C8G/CXCL11/C3/CFB/CXCL6/TREM1/MBL2/FCN2/CFHR5/C5/KNG1/MASP2/FCN3/C6/C8A/ARG1/CFHR2/HRG/HAMP/CFHR1/F2/C8B/C9",48
"GO:0008202","steroid metabolic process","78/1250","345/18860",0.226086956521739,3.4112,12.042470277568,2.82841895763853e-22,1.96221565186173e-19,1.51283198194745e-19,"HSD3B2/AQP8/SCNN1B/UGT1A8/SULT1A2/DHRS11/DHRS9/HSD11B2/HSD17B2/BMP2/ATP8B1/ABCA5/APOBR/LIMA1/SULT1A1/NR5A2/CLCN2/OSBPL7/OSBPL1A/LDLR/ERRFI1/FGFR4/LEPR/TM7SF2/CYP27A1/IGFBP7/INSIG1/DHCR7/CYP39A1/SQLE/SHH/SULT2B1/PROX1/CYP1B1/APOE/LCAT/PCSK9/UGT2B7/CES1/AKR1C1/DGAT2/CYP2B6/UGT1A1/NR0B2/SERPINA6/LIPC/CYP2D6/HSD17B6/CYP3A4/CYP1A2/AKR1D1/SEC14L2/UGT2B10/AGT/INHBA/SPP1/HSD11B1/APOC1/SLC27A5/CYP2C9/CYP8B1/CYP2A6/AKR1C4/UGT1A4/SULT2A1/ANGPTL3/APOA5/BAAT/APOF/UGT2B4/RDH16/PON1/APOB/CYP2C8/CYP2E1/APOA1/APOA2/GC",78
"GO:0010876","lipid localization","93/1250","483/18860",0.192546583850932,2.90514285714286,11.3005209116396,4.29286182503077e-21,2.64726479210231e-18,2.0409922010234e-18,"ABCG2/FABP2/ANO7/ABCA8/FABP4/CEACAM1/PLA2G10/ATP8B1/ATP8A1/ABCA5/GLTP/SLCO2A1/P2RX4/FABP1/APOBR/TMEM30B/BDKRB2/TNFRSF11A/ABCB1/PLA2G4F/OSBPL7/OSBPL1A/EEPD1/LDLR/GRAMD1A/SPNS2/SIGMAR1/TTPA/SYT7/SLC43A3/LIPG/PLA2G12B/MSR1/PTGS2/CLU/TMEM97/TREM2/CRABP2/CYP4F2/KCNJ8/RBP1/APOLD1/ATP11A/SHH/IL1B/SLC2A1/PLIN2/APOE/HILPDA/ACSL1/GLTPD2/LCAT/PCSK9/CES1/AKR1C1/SLCO4A1/IL6/LIPC/ABCG8/FABP6/C3/CFHR4/ABCG5/DRD2/APOM/ABCB4/AGT/SLCO1B3/INHBA/MTTP/SPP1/APOC1/SERPINA5/SLC27A5/SLC22A7/AKR1C4/SLC10A1/SLCO1B1/RBP4/SLC22A1/APOA5/APOF/APOC2/PON1/CRP/APOB/APOC4/CYP4A11/LBP/APOH/APOC3/APOA1/APOA2",93
"GO:0072330","monocarboxylic acid biosynthetic process","61/1250","237/18860",0.257383966244726,3.88340928270042,11.90118763634,1.11226385937286e-20,6.17306441951939e-18,4.75931851405336e-18,"PLP1/DHRS9/GSTM2/CEACAM1/ABHD3/PLA2G10/MGLL/PLA2G4F/OSBPL7/OSBPL1A/MTHFD2/PRMT3/ERRFI1/FGFR4/SHMT2/CYP27A1/FASN/NME1/LIPG/INSIG1/ELOVL5/PTGS2/CYP39A1/SDS/FADS2/ANGPTL4/RBP1/FADS1/IL1B/PROX1/ACSL1/SCD/MTHFD1L/CES1/MLXIPL/TRIB3/PKLR/GAMT/GATM/ACMSD/LIPC/ACSM5/CYP2D6/CYP3A4/CTHRC1/CYP1A2/AKR1D1/ACSM2A/APOC1/SLC27A5/ALDH8A1/CYP2C9/CYP8B1/ACSM2B/AKR1C4/APOA5/BAAT/APOC2/CYP2C8/CYP2E1/APOC3",61
