"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005539","glycosaminoglycan binding","69/1251","240/18662",0.2875,4.28882893685052,13.7455705223103,5.01201582396775e-26,5.08719606132727e-23,3.91464814882534e-23,"CLEC3B/GREM2/ZG16/PTN/SFRP1/CTSG/SLIT3/TNXB/LTBP4/FGFBP1/CXCL13/LIPH/CCL8/CCL15/FGFR2/FGFR4/SERPINE2/HMMR/LAMC2/POSTN/LIPG/NRP2/ANG/LTBP2/VCAN/FGFRL1/COL5A1/TREM2/PGF/TNFRSF11B/VEGFA/HAPLN3/CFH/SHH/CXCL10/REG1A/FN1/APOE/REG4/BMP7/SULF1/REG3A/THBS2/REG1B/BGN/CXCL11/LIPC/CXCL6/F11/CEL/COMP/SERPINA5/KNG1/HABP2/PGLYRP2/SAA1/SERPINA10/ANGPTL3/APOA5/SERPIND1/APOB/HRG/APOH/VTN/SERPINC1/AMBP/ITIH2/F2/ITIH1",69
"GO:0005201","extracellular matrix structural constituent","54/1251","175/18662",0.308571428571429,4.6031654676259,12.8367257811133,3.12321027483922e-22,1.58502921448091e-19,1.21969580206879e-19,"OGN/FCGBP/MFAP5/EDIL3/ABI3BP/TNXB/DPT/LTBP4/MUC4/MATN2/SPON1/SRPX/FBLN1/MFAP4/FGL2/COL12A1/PXDN/AEBP1/ASPN/COL6A3/LAMC2/IGFBP7/POSTN/LTBP2/VCAN/COL4A2/COL5A1/SRPX2/COL3A1/COL5A2/COL1A2/SPARC/COL18A1/MFAP2/TFPI2/FN1/COL9A3/COL4A1/COL8A1/TNC/TGFBI/COL1A1/THBS2/BGN/CHI3L1/ESM1/CTHRC1/COL11A1/COL10A1/COMP/FGA/VTN/FGB/FGG",54
"GO:0008201","heparin binding","51/1251","170/18662",0.3,4.47529976019185,12.2013825063317,1.84049266323276e-20,6.22700017727082e-18,4.79173879339896e-18,"CLEC3B/GREM2/PTN/SFRP1/CTSG/SLIT3/TNXB/FGFBP1/CXCL13/LIPH/CCL8/CCL15/FGFR2/FGFR4/SERPINE2/LAMC2/POSTN/LIPG/NRP2/ANG/LTBP2/FGFRL1/COL5A1/PGF/VEGFA/CFH/CXCL10/FN1/APOE/REG4/BMP7/THBS2/CXCL11/LIPC/CXCL6/F11/CEL/COMP/SERPINA5/KNG1/SAA1/SERPINA10/ANGPTL3/APOA5/SERPIND1/APOB/HRG/APOH/VTN/SERPINC1/F2",51
"GO:1901681","sulfur compound binding","61/1251","266/18662",0.229323308270677,3.4209684883672,10.6598847186287,9.14890451685564e-18,2.32153452115212e-15,1.78644398723865e-15,"CLEC3B/GREM2/PTN/SFRP1/GSTM2/CTSG/SLIT3/TNXB/FGFBP1/CXCL13/SULT1A1/LIPH/CCL8/CCL15/FGFR2/FGFR4/PC/SERPINE2/LAMC2/POSTN/NME1/LIPG/NRP2/ANG/LTBP2/FGFRL1/COL5A1/PGF/TNFRSF11B/VEGFA/CFH/CXCL10/FN1/CBS/APOE/REG4/BMP7/OGDHL/THBS2/CXCL11/LIPC/GNMT/CXCL6/F11/CEL/COMP/SERPINA5/KNG1/SAA1/SULT2A1/SERPINA10/ANGPTL3/APOA5/SERPIND1/APOB/HRG/APOH/VTN/SERPINC1/AMBP/F2",61
"GO:0004252","serine-type endopeptidase activity","47/1251","178/18662",0.264044943820225,3.93893424586174,10.5605404473131,1.61585065749521e-16,3.28017683471527e-14,2.52412881655041e-14,"CFD/TPSB2/CTSG/TPSAB1/RHBDL2/KLK1/TMPRSS2/GZMA/CTSH/MMP14/HTRA3/C1S/C1R/GZMB/PLAU/MMP12/MMP9/F10/C2/PCSK9/MASP1/PRSS22/MMP11/TMPRSS13/KLK7/CFB/CFI/F12/PROC/FAP/MMP1/F11/MMP3/KLKB1/KLK10/F7/HGFAC/KLK6/MASP2/HABP2/HPN/F9/MMP7/HP/PLG/HPR/F2",47
"GO:0017171","serine hydrolase activity","49/1251","202/18662",0.242574257425743,3.61864172028714,10.0304443487419,1.47868917834959e-15,2.50144919337473e-13,1.92489012339544e-13,"CFD/TPSB2/CTSG/TPSAB1/RHBDL2/ACHE/KLK1/TMPRSS2/GZMA/CTSH/MMP14/HTRA3/C1S/C1R/GZMB/PLAU/MMP12/MMP9/F10/C2/PCSK9/MASP1/PRSS22/MMP11/TMPRSS13/KLK7/CFB/CFI/F12/PROC/FAP/MMP1/F11/MMP3/KLKB1/KLK10/F7/HGFAC/KLK6/MASP2/HABP2/HPN/F9/MMP7/AADAC/HP/PLG/HPR/F2",49
"GO:0008236","serine-type peptidase activity","47/1251","196/18662",0.239795918367347,3.5771953865479,9.72239404376485,8.99379502576498e-15,1.30410027873592e-12,1.0035181818222e-12,"CFD/TPSB2/CTSG/TPSAB1/RHBDL2/KLK1/TMPRSS2/GZMA/CTSH/MMP14/HTRA3/C1S/C1R/GZMB/PLAU/MMP12/MMP9/F10/C2/PCSK9/MASP1/PRSS22/MMP11/TMPRSS13/KLK7/CFB/CFI/F12/PROC/FAP/MMP1/F11/MMP3/KLKB1/KLK10/F7/HGFAC/KLK6/MASP2/HABP2/HPN/F9/MMP7/HP/PLG/HPR/F2",47
"GO:0004866","endopeptidase inhibitor activity","42/1251","170/18662",0.247058823529412,3.68554097898152,9.42862917792541,8.02772430020363e-14,1.01851752058834e-11,7.83759398783039e-12,"WFDC2/ITIH5/SERPINF1/SERPINH1/SERPINE2/COL6A3/TFPI/BIRC5/SPINK4/SERPING1/TFPI2/SERPINB5/TIMP1/C4B/C4A/FETUB/SERPINA6/C3/SERPINA1/SERPINE1/AGT/SLCO1B3/C5/SERPINA5/KNG1/CST1/SERPINF2/SERPINA3/SERPINA4/SERPINA7/SERPINA10/SERPINA11/SPP2/ITIH4/SERPIND1/ITIH3/HRG/SERPINC1/AMBP/AHSG/ITIH2/ITIH1",42
"GO:0008009","chemokine activity","22/1251","50/18662",0.44,6.56377298161471,10.5594703469996,1.82063072462486e-13,2.05326687277137e-11,1.58000935400192e-11,"CCL28/CXCL14/CXCL13/CCL5/CCL8/CCL15/CCL4/CCL24/CCL3/CCL4L1/CXCL9/CCL18/CXCL10/CXCL3/CXCL1/CXCL2/CXCL5/CXCL11/CCL16/C3/CXCL6/C5",22
"GO:0005319","lipid transporter activity","43/1251","184/18662",0.233695652173913,3.48619365377263,9.08449179885057,3.22639840562359e-13,3.27479438170794e-11,2.51998696523442e-11,"ABCG2/FABP2/ABCA8/FABP4/CEACAM1/ATP8B1/ATP8A1/ABCA5/GLTP/SLCO2A1/TMEM30B/ABCB1/OSBPL7/OSBPL1A/GRAMD1A/SPNS2/TTPA/SLC43A3/ATP11A/SLC2A1/APOE/GLTPD2/SLCO4A1/ABCG8/CFHR4/ABCG5/APOM/ABCB4/SLCO1B3/MTTP/SLC27A5/SLC22A7/AKR1C4/SLC10A1/SLCO1B1/RBP4/SLC22A1/APOA5/APOF/APOB/APOC4/APOA1/APOA2",43
